JONES LANG LASALLE391 CHICAGO              IL 60601 77300
KELLOGG216 BATTLE CREEK         MI 49017 37369
KELLY SERVICES490 TROY                 MI 48084 7500
KEYCORP479 CLEVELAND            OH 44114 15700
KIMBERLY-CLARK155 IRVING               TX 75038 42000
KINDER MORGAN215 HOUSTON              TX 77002 11121
KINDRED HEALTHCARE376 LOUISVILLE           KY 40202 76650
KOHL'S150 MENOMONEE FALLS      WI 53051 85000
KRAFT HEINZ106 CHICAGO              IL 60601 41000
KROGER18  CINCINNATI           OH 45202 443000
L BRANDS220 COLUMBUS             OH 43230 59100
L-3 COMMUNICATIONS273 NEW YORK             NY 10016 38000
LABORATORY CORP. OF AMERICA290 BURLINGTON           NC 27215 52000
LAM RESEARCH440 FREMONT              CA 94538 7500
LAND O'LAKES209 ARDEN HILLS          MN 55126 10000
LAS VEGAS SANDS249 LAS VEGAS            NV 89109 49000
LEAR151 SOUTHFIELD           MI 48033 148400
LEIDOS HOLDINGS381 RESTON               VA 20190 32000
LENNAR260 MIAMI                FL 33172 8335
LEUCADIA NATIONAL262 NEW YORK             NY 10022 13000
LEVEL 3 COMMUNICATIONS336 BROOMFIELD           CO 80021 12600
LIBERTY INTERACTIVE269 ENGLEWOOD            CO 80112 21080
LIBERTY MEDIA491 ENGLEWOOD            CO 80112 3626
LIBERTY MUTUAL INSURANCE GROUP75  BOSTON               MA 2116  50000
LIFEPOINT HEALTH374 BRENTWOOD            TN 37027 47000
LINCOLN NATIONAL207 RADNOR               PA 19087 9057
LITHIA MOTORS318 MEDFORD              OR 97501 11170
LIVE NATION ENTERTAINMENT330 BEVERLY HILLS        CA 90210 11500
LKQ304 CHICAGO              IL 60661 42500
LOCKHEED MARTIN56  BETHESDA             MD 20817 97000
LOEWS213 NEW YORK             NY 10065 15800
LOWE'S40  MOORESVILLE          NC 28117 240000
M&T BANK CORP.455 BUFFALO              NY 14203 16487
MACY'S110 CINCINNATI           OH 45202 148300
MANPOWERGROUP146 MILWAUKEE            WI 53212 28000
MARATHON PETROLEUM51  FINDLAY              OH 45840 44460
MARKEL460 GLEN ALLEN           VA 23060 10900
MARRIOTT INTERNATIONAL163 BETHESDA             MD 20817 226500
MARSH & MCLENNAN210 NEW YORK             NY 10036 60000
MASCO372 TAYLOR               MI 48180 26000
MASSACHUSETTS MUTUAL LIFE INSURANCE77  SPRINGFIELD          MA 1111  11737
MASTERCARD267 PURCHASE             NY 10577 11900
MATTEL474 EL SEGUNDO           CA 90245 32000
MCDONALD'S112 OAK BROOK            IL 60523 375000
MCKESSON5   SAN FRANCISCO        CA 94104 68000
MERCK69  KENILWORTH           NJ 7033  68000
METLIFE42  NEW YORK             NY 10166 58000
MGM RESORTS INTERNATIONAL297 LAS VEGAS            NV 89109 66500
MICHAELS COS.496 IRVING               TX 75063 31000
MICRON TECHNOLOGY226 BOISE                ID 83716 31400
MICROSOFT28  REDMOND              WA 98052 114000
MOHAWK INDUSTRIES311 CALHOUN              GA 30701 37800
MOLINA HEALTHCARE156 LONG BEACH           CA 90802 21000
MONDELEZ INTERNATIONAL109 DEERFIELD            IL 60015 90000
MONSANTO204 SAINT LOUIS          MO 63167 22450
MORGAN STANLEY76  NEW YORK             NY 10036 55311
MOSAIC377 PLYMOUTH             MN 55441 8700
MOTOROLA SOLUTIONS433 CHICAGO              IL 60661 14000
MURPHY USA291 EL DORADO            AR 71730 6600
MUTUAL OF OMAHA INSURANCE342 OMAHA                NE 68175 5732
NATIONAL OILWELL VARCO375 HOUSTON              TX 77036 36384
NATIONWIDE68  COLUMBUS             OH 43215 34320
NAVISTAR INTERNATIONAL337 LISLE                IL 60532 11300
NCR409 ATLANTA              GA 30308 33500
NETAPP468 SUNNYVALE            CA 94089 12030
NETFLIX314 LOS GATOS            CA 95032 3850
NEW YORK LIFE INSURANCE65  NEW YORK             NY 10010 11320
NEWELL BRANDS208 HOBOKEN              NJ 7030  53400
NEWMONT MINING328 GREENWOOD VILLAGE    CO 80111 12438
NEWS CORP.332 NEW YORK             NY 10036 24000
NEXTERA ENERGY170 JUNO BEACH           FL 33408 14700
NGL ENERGY PARTNERS237 TULSA                OK 74136 3200
NIKE88  BEAVERTON            OR 97005 70700
NORDSTROM188 SEATTLE              WA 98101 72500
NORFOLK SOUTHERN284 NORFOLK              VA 23510 27856
NORTHROP GRUMMAN114 FALLS CHURCH         VA 22042 67000
NORTHWESTERN MUTUAL97  MILWAUKEE            WI 53202 5646
NRG ENERGY229 PRINCETON            NJ 8540  8763
NUCOR169 CHARLOTTE            NC 28211 23900
NVIDIA387 SANTA CLARA          CA 95051 10299
NVR446 RESTON               VA 20190 4900
OCCIDENTAL PETROLEUM278 LOS ANGELES          CA 90024 11000
OFFICE DEPOT203 BOCA RATON           FL 33496 38000
OLD REPUBLIC INTERNATIONAL439 CHICAGO              IL 60601 8500
OLIN467 CLAYTON              MO 63105 6400
OMNICOM GROUP179 NEW YORK             NY 10022 78500
ONEOK312 TULSA                OK 74103 2384
ORACLE81  REDWOOD CITY         CA 94065 136000
O'REILLY AUTOMOTIVE323 SPRINGFIELD          MO 65802 58397
OSHKOSH425 OSHKOSH              WI 54902 13800
OWENS & MINOR288 MECHANICSVILLE       VA 23116 7900
OWENS CORNING458 TOLEDO               OH 43659 16000
OWENS-ILLINOIS401 PERRYSBURG           OH 43551 27000
PACCAR164 BELLEVUE             WA 98004 23000
PACIFIC LIFE302 NEWPORT BEACH        CA 92660 3628
PACKAGING CORP. OF AMERICA450 LAKE FOREST          IL 60045 14000
PARKER-HANNIFIN251 CLEVELAND            OH 44124 48950
PATTERSON466 SAINT PAUL           MN 55120 7000
PAYPAL HOLDINGS264 SAN JOSE             CA 95131 18100
PBF ENERGY172 PARSIPPANY           NJ 7054  3165
PENSKE AUTOMOTIVE GROUP142 BLOOMFIELD HILLS     MI 48302 24000
PEPSICO44  PURCHASE             NY 10577 264000
PERFORMANCE FOOD GROUP171 RICHMOND             VA 23238 13000
PETER KIEWIT SONS'324 OMAHA                NE 68131 20000
PFIZER54  NEW YORK             NY 10017 96500
PG&E CORP.157 SAN FRANCISCO        CA 94105 24000
PHILIP MORRIS INTERNATIONAL104 NEW YORK             NY 10017 79500
PHILLIPS 6634  HOUSTON              TX 77042 14800
PLAINS GP HOLDINGS141 HOUSTON              TX 77002 5100
PNC FINANCIAL SERVICES GROUP166 PITTSBURGH           PA 15222 50683
PPG INDUSTRIES183 PITTSBURGH           PA 15272 47000
PPL365 ALLENTOWN            PA 18101 12689
PRAXAIR275 DANBURY              CT 6810  26498
PRICELINE GROUP268 NORWALK              CT 6854  18500
PRINCIPAL FINANCIAL227 DES MOINES           IA 50392 14854
PROCTER & GAMBLE36  CINCINNATI           OH 45202 105000
PROGRESSIVE120 MAYFIELD VILLAGE     OH 44143 31721
PRUDENTIAL FINANCIAL48  NEWARK               NJ 7102  49739
PUBLIC SERVICE ENTERPRISE GROUP308 NEWARK               NJ 7102  13065
PUBLIX SUPER MARKETS85  LAKELAND             FL 33811 191000
PULTEGROUP353 ATLANTA              GA 30326 4623
PVH335 NEW YORK             NY 10016 26650
QUALCOMM119 SAN DIEGO            CA 92121 30500
QUANTA SERVICES355 HOUSTON              TX 77056 28100
QUEST DIAGNOSTICS366 SECAUCUS             NJ 7094  43000
QUINTILES TRANSNATIONAL HOLDINGS390 DURHAM               NC 27703 50000
R.R. DONNELLEY & SONS388 CHICAGO              IL 60606 44360
RALPH LAUREN371 NEW YORK             NY 10022 20500
RAYMOND JAMES FINANCIAL469 SAINT PETERSBURG     FL 33716 11900
RAYTHEON116 WALTHAM              MA 2451  63000
REALOGY HOLDINGS448 MADISON              NJ 7940  11800
REGIONS FINANCIAL436 BIRMINGHAM           AL 35203 22166
REINSURANCE GROUP OF AMERICA246 CHESTERFIELD         MO 63017 2371
RELIANCE STEEL & ALUMINUM320 LOS ANGELES          CA 90071 14500
REPUBLIC SERVICES299 PHOENIX              AZ 85054 33000
REYNOLDS AMERICAN223 WINSTON-SALEM        NC 27101 5525
RITE AID91  CAMP HILL            PA 17011 70580
ROBERT HALF INTERNATIONAL493 MENLO PARK           CA 94025 16400
ROCKWELL AUTOMATION442 MILWAUKEE            WI 53204 22000
ROCKWELL COLLINS492 CEDAR RAPIDS         IA 52498 19000
ROSS STORES219 DUBLIN               CA 94568 78600
RYDER SYSTEM394 MIAMI                FL 33178 34500
S&P GLOBAL459 NEW YORK             NY 10041 20000
SALESFORCE.COM326 SAN FRANCISCO        CA 94105 25000
SANMINA414 MILPITAS             CA 95035 40178
SEABOARD486 SHAWNEE MISSION      KS 66202 11781
SEALED AIR397 ELMWOOD PARK         NJ 7407  23000
SEARS HOLDINGS127 HOFFMAN ESTATES      IL 60179 140000
SEMPRA ENERGY280 SAN DIEGO            CA 92101 16575
SHERWIN-WILLIAMS236 CLEVELAND            OH 44115 42550
SIMON PROPERTY GROUP477 INDIANAPOLIS         IN 46204 4050
SONIC AUTOMOTIVE287 CHARLOTTE            NC 28211 9800
SOUTHERN145 ATLANTA              GA 30308 32015
SOUTHWEST AIRLINES138 DALLAS               TX 75235 53536
SPARTANNASH350 BYRON CENTER         MI 49315 11500
SPIRIT AEROSYSTEMS HOLDINGS393 WICHITA              KS 67210 14400
ST. JUDE MEDICAL434 SAINT PAUL           MN 55117 18000
STANLEY BLACK & DECKER250 NEW BRITAIN          CT 6053  54023
STAPLES140 FRAMINGHAM           MA 1702  61503
STARBUCKS131 SEATTLE              WA 98134 254000
STATE FARM INSURANCE COS.33  BLOOMINGTON          IL 61710 68234
STATE STREET CORP.271 BOSTON               MA 2111  33783
STEEL DYNAMICS347 FORT WAYNE           IN 46804 7695
STRYKER252 KALAMAZOO            MI 49002 33000
SUNTRUST BANKS303 ATLANTA              GA 30308 24375
SUPERVALU158 EDEN PRAIRIE         MN 55344 38000
SYMANTEC465 MOUNTAIN VIEW        CA 94043 11000
SYNCHRONY FINANCIAL185 STAMFORD             CT 6902  15000
SYNNEX198 FREMONT              CA 94538 110000
SYSCO57  HOUSTON              TX 77077 51900
TARGA RESOURCES402 HOUSTON              TX 77002 1970
TARGET38  MINNEAPOLIS          MN 55403 323000
TECH DATA107 CLEARWATER           FL 33760 9500
TENET HEALTHCARE134 DALLAS               TX 75202 116475
TENNECO322 LAKE FOREST          IL 60045 31000
TEREX445 WESTPORT             CT 6880  18100
TESLA383 PALO ALTO            CA 94304 30025
TEXAS INSTRUMENTS206 DALLAS               TX 75243 29865
TEXTRON200 PROVIDENCE           RI 2903  36000
THERMO FISHER SCIENTIFIC154 WALTHAM              MA 2451  54800
THRIVENT FINANCIAL FOR LUTHERANS316 MINNEAPOLIS          MN 55415 3282
TIAA80  NEW YORK             NY 10017 12997
TIME WARNER95  NEW YORK             NY 10019 25000
TJX87  FRAMINGHAM           MA 1701  235000
TOLL BROTHERS497 HORSHAM              PA 19044 4200
"TOYS ""R"" US"244 WAYNE                NJ 7470  64000
TRACTOR SUPPLY396 BRENTWOOD            TN 37027 19500
TRAVELCENTERS OF AMERICA470 WESTLAKE             OH 44145 20259
TRAVELERS COS.99  NEW YORK             NY 10017 30900
TREEHOUSE FOODS427 OAK BROOK            IL 60523 16027
TWENTY-FIRST CENTURY FOX101 NEW YORK             NY 10036 21500
TYSON FOODS82  SPRINGDALE           AR 72762 114000
U.S. BANCORP125 MINNEAPOLIS          MN 55402 71191
UGI457 KING OF PRUSSIA      PA 19406 13105
UNION PACIFIC143 OMAHA                NE 68179 42919
UNITED CONTINENTAL HOLDINGS83  CHICAGO              IL 60606 88000
UNITED NATURAL FOODS325 PROVIDENCE           RI 2908  9554
UNITED RENTALS452 STAMFORD             CT 6902  12500
UNITED STATES STEEL279 PITTSBURGH           PA 15219 29800
UNITED TECHNOLOGIES50  FARMINGTON           CT 6032  201600
UNITEDHEALTH GROUP6   MINNETONKA           MN 55343 230000
UNIVAR338 DOWNERS GROVE        IL 60515 8700
UNIVERSAL HEALTH SERVICES276 KING OF PRUSSIA      PA 19406 70863
UNUM GROUP258 CHATTANOOGA          TN 37402 9400
UPS46  ATLANTA              GA 30328 335520
US FOODS HOLDING124 ROSEMONT             IL 60018 25000
USAA102 SAN ANTONIO          TX 78288 29943
VALERO ENERGY37  SAN ANTONIO          TX 78249 9996
VERITIV331 ATLANTA              GA 30328 8700
VERIZON COMMUNICATIONS14  NEW YORK             NY 10036 160900
VF230 GREENSBORO           NC 27408 69000
VIACOM224 NEW YORK             NY 10036 9650
VISA187 FOSTER CITY          CA 94404 14200
VISTRA ENERGY499 IRVING               TX 75039 4431
VOYA FINANCIAL266 NEW YORK             NY 10169 6700
